cal_year,regime_yr,p10_gbpm,p50_gbpm,p90_gbpm,mean_gbpm
2028,1,266.64,309.9,430.66,444.59
2029,2,265.86,309.48,433.35,629.23
2030,3,265.45,308.83,428.87,528.98
2031,4,265.61,308.48,433.52,696.45
2032,5,266.04,309.9,434.2,615.18
2033,6,265.17,308.54,433.89,636.67
2034,7,264.52,308.47,432.9,489.49
2035,8,265.14,308.9,428.15,1418.95
2036,9,266.14,309.14,438.96,870.6
2037,10,265.73,310.02,438.44,894.76
2038,11,264.9,308.9,431.35,3034.79
2039,12,265.31,308.52,434.55,542.19
2040,13,265.97,309.57,437.76,523.53
2041,14,264.47,308.55,433.62,487.86
2042,15,265.52,309.25,430.71,1536.6
2043,16,266.24,308.96,434.14,8477.33
2044,17,266.84,309.04,434.53,498.64
2045,18,265.24,308.26,431.17,1205.55
2046,19,265.83,308.35,428.39,515.94
2047,20,264.85,307.76,431.66,414.54
2048,21,266.06,308.84,440.71,2137.77
2049,22,265.33,308.49,436.79,505.93
2050,23,264.81,309.57,443.43,758.96
2051,24,266.08,309.22,438.29,520.4
2052,25,266.08,309.9,431.03,513.31
