cal_year,regime_yr,p10_gbpm,p50_gbpm,p90_gbpm
2026,6,54.77,61.65,69.93
2027,7,46.41,52.6,60.38
2028,8,50.29,56.92,64.92
2029,9,53.62,60.59,68.82
2030,10,60.51,67.79,76.37
2031,11,59.02,66.48,75.08
2032,12,59.24,66.62,75.3
2033,13,59.42,66.81,75.25
2034,14,59.99,67.29,75.9
2035,15,60.06,67.47,76.06
2036,16,59.5,66.83,75.38
2037,17,59.45,66.73,75.07
2038,18,63.7,71.29,80.06
2039,19,66.66,74.39,83.38
2040,20,69.98,77.93,87.06
2041,21,73.52,81.55,90.76
2042,22,78.38,86.58,95.82
2043,23,79.03,87.32,96.57
2044,24,82.47,90.86,100.4
2045,25,84.4,92.8,102.31
