cal_year,regime_yr,p10_gbpm,p50_gbpm,p90_gbpm
2026,6,111.36,123.21,137.73
2027,7,111.17,123.3,137.8
2028,8,111.7,123.71,138.66
2029,9,111.51,123.35,137.76
2030,10,111.37,123.49,137.93
2031,11,111.33,123.43,137.93
2032,12,111.57,123.73,138.26
2033,13,111.2,123.17,137.7
2034,14,111.41,123.46,137.64
2035,15,111.52,123.42,137.82
2036,16,111.74,123.68,138.11
2037,17,111.25,123.5,137.81
2038,18,110.99,123.22,138.02
2039,19,111.36,123.25,137.9
2040,20,111.85,123.85,138.23
2041,21,111.19,123.34,137.82
2042,22,111.26,123.39,137.44
2043,23,111.41,123.46,138.14
2044,24,111.48,123.84,138.41
2045,25,111.08,123.3,137.9
